Stock,Entry,Buy,Exit,Sell,ProfitLoss,Returns,DaysInTheTrade
ASIANPAINT,2004-04-02,30.485001,2004-07-01,31.065001,0.58,1.9,90
ASIANPAINT,2004-04-21,31.15,2004-07-20,31.440001,0.29,0.93,90
ASIANPAINT,2004-04-30,30.84,2004-07-29,31.985001,1.15,3.73,90
ASIANPAINT,2004-05-05,30.940001,2004-08-03,32.005001,1.07,3.46,90
ASIANPAINT,2004-07-05,31.02,2004-10-04,31.705,0.68,2.19,91
ASIANPAINT,2004-07-07,31.049999,2004-10-05,31.545,0.5,1.61,90
ASIANPAINT,2004-07-20,31.440001,2004-10-18,29.424999,-2.02,-6.42,90
ASIANPAINT,2004-07-29,31.985001,2004-10-27,29.504999,-2.48,-7.75,90
ASIANPAINT,2004-08-30,31.504999,2004-11-29,29.594999,-1.91,-6.06,91
ASIANPAINT,2004-09-17,31.504999,2004-12-16,32.455002,0.95,3.02,90
ASIANPAINT,2006-05-29,57.205002,2006-08-03,61.740002,4.53,7.92,66
ASIANPAINT,2006-06-12,57.360001,2006-08-03,61.740002,4.38,7.64,52
ASIANPAINT,2006-06-27,58.049999,2006-08-08,63.075001,5.03,8.66,42
ASIANPAINT,2006-06-30,59.205002,2006-08-10,63.630001,4.42,7.47,41
ASIANPAINT,2006-07-07,58.41,2006-08-08,63.075001,4.67,8.0,32
ASIANPAINT,2006-07-27,58.950001,2006-08-10,63.630001,4.68,7.94,14
ASIANPAINT,2006-07-31,61.025002,2006-09-07,65.334999,4.31,7.06,38
ASIANPAINT,2007-03-06,68.32,2007-03-26,73.160004,4.84,7.08,20
ASIANPAINT,2007-03-08,69.334999,2007-03-28,74.220001,4.89,7.05,20
ASIANPAINT,2008-07-24,112.25,2008-07-31,120.445,8.19,7.3,7
ASIANPAINT,2008-07-28,113.830002,2008-08-04,122.519997,8.69,7.63,7
ASIANPAINT,2008-09-23,116.934998,2008-12-22,87.665001,-29.27,-25.03,90
ASIANPAINT,2011-02-14,260.0,2011-05-16,279.350006,19.35,7.44,91
ASIANPAINT,2011-02-17,259.480011,2011-05-16,279.350006,19.87,7.66,88
ASIANPAINT,2011-04-25,266.209991,2011-05-17,284.88501,18.68,7.02,22
ASIANPAINT,2011-11-25,294.279999,2012-02-23,305.934998,11.65,3.96,90
ASIANPAINT,2012-01-30,298.809998,2012-03-05,323.470001,24.66,8.25,35
ASIANPAINT,2012-02-06,299.359985,2012-03-05,323.470001,24.11,8.05,28
ASIANPAINT,2012-02-09,305.820007,2012-04-03,335.640015,29.82,9.75,54
ASIANPAINT,2012-03-21,306.285004,2012-04-03,335.640015,29.36,9.59,13
ASIANPAINT,2013-06-26,449.299988,2013-07-11,487.450012,38.15,8.49,15
ASIANPAINT,2013-09-19,479.100006,2013-10-21,515.799988,36.7,7.66,32
ASIANPAINT,2013-10-03,470.799988,2013-10-21,515.799988,45.0,9.56,18
ASIANPAINT,2014-01-29,482.899994,2014-03-24,523.900024,41.0,8.49,54
ASIANPAINT,2014-02-05,484.450012,2014-03-24,523.900024,39.45,8.14,47
ASIANPAINT,2015-06-23,756.5,2015-07-07,824.599976,68.1,9.0,14
ASIANPAINT,2015-06-30,755.349976,2015-07-07,824.599976,69.25,9.17,7
ASIANPAINT,2015-09-09,821.150024,2015-10-16,882.5,61.35,7.47,37
ASIANPAINT,2015-09-24,806.349976,2015-10-07,865.049988,58.7,7.28,13
ASIANPAINT,2015-09-30,841.599976,2015-12-29,880.099976,38.5,4.57,90
ASIANPAINT,2015-11-09,816.400024,2015-12-14,875.450012,59.05,7.23,35
ASIANPAINT,2017-03-01,1032.75,2017-04-27,1105.349976,72.6,7.03,57
ASIANPAINT,2017-03-06,1029.400024,2017-04-26,1104.650024,75.25,7.31,51
ASIANPAINT,2017-03-09,1031.099976,2017-04-26,1104.650024,73.55,7.13,48
ASIANPAINT,2017-03-14,1071.400024,2017-05-05,1146.800049,75.4,7.04,52
ASIANPAINT,2017-12-07,1144.400024,2018-03-07,1107.25,-37.15,-3.25,90
ASIANPAINT,2017-12-26,1150.75,2018-03-26,1117.550049,-33.2,-2.89,90
ASIANPAINT,2018-01-04,1172.050049,2018-04-04,1136.0,-36.05,-3.08,90
ASIANPAINT,2018-04-27,1181.599976,2018-05-11,1286.449951,104.85,8.87,14
ASIANPAINT,2018-10-08,1247.800049,2018-11-26,1349.5,101.7,8.15,49
ASIANPAINT,2018-10-12,1261.199951,2018-11-29,1350.300049,89.1,7.06,48
ASIANPAINT,2018-11-07,1250.949951,2018-11-26,1349.5,98.55,7.88,19
ASIANPAINT,2019-05-20,1373.949951,2019-07-24,1483.400024,109.45,7.97,65
ASIANPAINT,2019-05-22,1368.449951,2019-07-24,1483.400024,114.95,8.4,63
ASIANPAINT,2019-07-16,1372.300049,2019-07-24,1483.400024,111.1,8.1,8
ASIANPAINT,2020-03-20,1742.949951,2020-06-18,1597.800049,-145.15,-8.33,90
ASIANPAINT,2020-04-13,1680.849976,2020-04-22,1813.0,132.15,7.86,9
ASIANPAINT,2020-06-24,1747.25,2020-08-18,1874.099976,126.85,7.26,55
ASIANPAINT,2020-07-07,1745.75,2020-08-18,1874.099976,128.35,7.35,42
ASIANPAINT,2020-07-20,1751.599976,2020-08-19,1885.699951,134.1,7.66,30
ASIANPAINT,2020-07-27,1778.150024,2020-08-21,1958.0,179.85,10.11,25
ASIANPAINT,2022-02-28,3174.649902,2022-05-30,2844.0,-330.65,-10.42,91
ASIANPAINT,2022-04-08,3206.25,2022-07-07,2891.399902,-314.85,-9.82,90
ASIANPAINT,2022-04-22,3164.399902,2022-07-21,3066.100098,-98.3,-3.11,90
ASIANPAINT,2022-04-28,3247.699951,2022-07-27,3186.050049,-61.65,-1.9,90
ASIANPAINT,2022-05-23,3174.199951,2022-08-03,3439.649902,265.45,8.36,72
ASIANPAINT,2022-12-28,3123.699951,2023-03-28,2784.449951,-339.25,-10.86,90
ASIANPAINT,2023-05-11,3139.75,2023-06-30,3362.050049,222.3,7.08,50
BAJFINANCE,2003-04-24,4.441097,2003-05-05,4.835559,0.39,8.78,11
BAJFINANCE,2004-03-29,6.57469,2004-04-02,7.253825,0.68,10.34,4
BAJFINANCE,2004-05-19,7.542385,2004-07-14,8.097158,0.55,7.29,56
