Stock,Entry,Buy,Exit,Sell,ProfitLoss,Returns,DaysInTheTrade
360ONE,2021-12-21,346.362488,2022-01-05,378.524994,32.16,9.29,15
360ONE,2022-03-15,375.362488,2022-03-24,406.087494,30.73,8.19,9
360ONE,2022-05-18,400.774994,2022-08-16,414.899994,14.12,3.52,90
360ONE,2022-05-23,396.162506,2022-08-22,419.887512,23.73,5.99,91
360ONE,2023-03-15,432.299988,2023-06-13,433.700012,1.4,0.32,90
360ONE,2023-03-28,435.950012,2023-06-26,452.0,16.05,3.68,90
360ONE,2023-04-06,439.799988,2023-07-03,475.700012,35.9,8.16,88
360ONE,2023-06-16,440.649994,2023-07-03,475.700012,35.05,7.95,17
360ONE,2023-06-22,452.450012,2023-07-10,485.100006,32.65,7.22,18
3MINDIA,2004-02-04,402.350006,2004-04-05,443.200012,40.85,10.15,61
3MINDIA,2004-02-23,408.299988,2004-04-05,443.200012,34.9,8.55,42
3MINDIA,2004-03-01,425.600006,2004-04-07,460.049988,34.45,8.09,37
3MINDIA,2004-04-02,428.899994,2004-04-07,460.049988,31.15,7.26,5
3MINDIA,2004-05-18,444.5,2004-08-16,450.0,5.5,1.24,90
3MINDIA,2004-08-02,451.25,2004-09-02,493.700012,42.45,9.41,31
3MINDIA,2004-08-06,455.0,2004-09-02,493.700012,38.7,8.51,27
3MINDIA,2004-08-12,447.399994,2004-09-02,493.700012,46.3,10.35,21
3MINDIA,2004-08-16,450.0,2004-09-02,493.700012,43.7,9.71,17
3MINDIA,2004-08-18,448.100006,2004-09-02,493.700012,45.6,10.18,15
3MINDIA,2004-08-25,450.0,2004-09-02,493.700012,43.7,9.71,8
3MINDIA,2006-06-22,1111.699951,2006-08-16,1212.050049,100.35,9.03,55
3MINDIA,2006-07-27,1106.400024,2006-08-16,1212.050049,105.65,9.55,20
3MINDIA,2007-08-30,1759.949951,2007-10-15,1999.550049,239.6,13.61,46
3MINDIA,2007-09-19,1731.550049,2007-10-15,1999.550049,268.0,15.48,26
3MINDIA,2007-09-25,1724.849976,2007-10-15,1999.550049,274.7,15.93,20
3MINDIA,2008-01-23,1900.099976,2008-04-22,1878.0,-22.1,-1.16,90
3MINDIA,2008-01-25,1899.0,2008-04-24,1898.449951,-0.55,-0.03,90
3MINDIA,2008-02-05,1951.699951,2008-05-05,1886.800049,-64.9,-3.33,90
3MINDIA,2008-02-26,1924.050049,2008-05-26,1894.5,-29.55,-1.54,90
3MINDIA,2008-03-11,2000.0,2008-06-09,1800.0,-200.0,-10.0,90
3MINDIA,2011-02-14,3350.350098,2011-04-08,3643.300049,292.95,8.74,53
3MINDIA,2011-02-17,3341.25,2011-04-08,3643.300049,302.05,9.04,50
3MINDIA,2011-04-04,3478.199951,2011-04-20,3764.550049,286.35,8.23,16
3MINDIA,2011-04-07,3511.050049,2011-04-20,3764.550049,253.5,7.22,13
3MINDIA,2012-04-30,4084.949951,2012-07-30,3744.149902,-340.8,-8.34,91
3MINDIA,2012-11-27,3990.699951,2013-02-25,3794.5,-196.2,-4.92,90
3MINDIA,2016-01-22,9925.5,2016-02-08,11532.799805,1607.3,16.19,17
3MINDIA,2016-01-29,9881.150391,2016-02-08,11532.799805,1651.65,16.72,10
3MINDIA,2016-02-05,10135.75,2016-02-08,11532.799805,1397.05,13.78,3
