Stock,Profit,Loss,Win Percent,Days
POONAWALLA,46,1,97.87234042553192,33.638297872340424
RELAXO,26,1,96.29629629629629,46.333333333333336
ASTERDM,21,1,95.45454545454545,37.63636363636363
INDUSINDBK,36,2,94.73684210526315,32.73684210526316
TIMKEN,34,2,94.44444444444444,25.86111111111111
NCC,33,2,94.28571428571428,33.25714285714286
UNOMINDA,16,1,94.11764705882352,32.705882352941174
BERGEPAINT,47,4,92.15686274509804,33.549019607843135
STLTECH,32,3,91.42857142857143,33.77142857142857
VTL,31,3,91.17647058823529,40.970588235294116
NAVINFLUOR,20,2,90.9090909090909,36.54545454545455
GMMPFAUDLR,10,1,90.9090909090909,47.81818181818182
ISEC,10,1,90.9090909090909,27.727272727272727
JINDWORLD,19,2,90.47619047619048,35.095238095238095
PRSMJOHNSN,37,4,90.2439024390244,30.926829268292682
YESBANK,27,3,90.0,38.4
AMBER,9,1,90.0,23.1
MHRIL,24,3,88.88888888888889,46.03703703703704
ICICIGI,16,2,88.88888888888889,40.333333333333336
BHEL,32,4,88.88888888888889,36.0
SUMICHEM,8,1,88.88888888888889,36.666666666666664
SUVENPHAR,8,1,88.88888888888889,57.55555555555556
AVANTIFEED,24,3,88.88888888888889,31.14814814814815
NESTLEIND,31,4,88.57142857142857,55.94285714285714
UFLEX,23,3,88.46153846153845,22.576923076923077
RCF,38,5,88.37209302325581,39.16279069767442
CYIENT,15,2,88.23529411764706,29.41176470588235
BRIGADE,30,4,88.23529411764706,49.029411764705884
TITAN,37,5,88.09523809523809,36.833333333333336
TV18BRDCST,37,5,88.09523809523809,30.833333333333332
FORTIS,43,6,87.75510204081633,45.87755102040816
CEATLTD,14,2,87.5,49.875
ADANITRANS,7,1,87.5,25.375
AEGISCHEM,21,3,87.5,25.708333333333332
LUXIND,7,1,87.5,26.125
APLAPOLLO,26,4,86.66666666666667,33.233333333333334
INFIBEAM,13,2,86.66666666666667,33.733333333333334
RTNINDIA,6,1,85.71428571428571,34.42857142857143
CHOLAFIN,36,6,85.71428571428571,43.88095238095238
IBULHSGFIN,18,3,85.71428571428571,39.476190476190474
