Stock,Entry,Buy,Exit,Sell,ProfitLoss,Returns,DaysInTheTrade
ABB,2011-03-24,777.049988,2011-04-20,832.650024,55.6,7.16,27
ABB,2011-09-02,858.799988,2011-12-02,618.75,-240.05,-27.95,91
ABB,2012-01-13,705.599976,2012-01-23,756.400024,50.8,7.2,10
ABB,2012-06-29,802.150024,2012-09-28,800.650024,-1.5,-0.19,91
ABB,2013-09-10,558.900024,2013-10-22,612.200012,53.3,9.54,42
ABB,2014-02-18,667.25,2014-02-28,716.900024,49.65,7.44,10
ABB,2014-10-21,1059.650024,2014-10-27,1154.400024,94.75,8.94,6
ABB,2014-11-11,1119.349976,2014-12-04,1316.949951,197.6,17.65,23
ABB,2015-03-31,1260.099976,2015-04-08,1382.849976,122.75,9.74,8
ABB,2015-06-22,1336.75,2015-09-21,1107.199951,-229.55,-17.17,91
ABB,2015-10-26,1264.900024,2016-01-25,981.049988,-283.85,-22.44,91
ABB,2016-02-04,1151.550049,2016-03-28,1242.900024,91.35,7.93,53
ABB,2016-06-29,1210.949951,2016-07-20,1301.400024,90.45,7.47,21
ABB,2017-01-10,1175.5,2017-02-10,1258.0,82.5,7.02,31
ABB,2017-08-04,1426.199951,2017-11-03,1382.25,-43.95,-3.08,91
ABB,2017-11-22,1408.699951,2018-01-15,1514.800049,106.1,7.53,54
ABB,2018-08-21,1270.150024,2018-09-10,1373.699951,103.55,8.15,20
ABB,2018-10-31,1279.150024,2018-11-28,1399.099976,119.95,9.38,28
ABB,2018-12-31,1336.75,2019-04-01,1317.800049,-18.95,-1.42,91
ABB,2019-09-23,1553.25,2019-12-23,1261.300049,-291.95,-18.8,91
ABB,2020-07-02,963.400024,2020-10-01,861.0,-102.4,-10.63,91
ABB,2020-10-21,901.650024,2020-11-12,967.700012,66.05,7.33,22
ABB,2021-04-15,1349.449951,2021-05-18,1449.849976,100.4,7.44,33
ABB,2022-02-28,2159.449951,2022-05-30,2385.75,226.3,10.48,91
ABB,2022-06-21,2227.850098,2022-07-06,2517.0,289.15,12.98,15
ABB,2023-02-07,3023.5,2023-03-01,3311.449951,287.95,9.52,22
APOLLOHOSP,2011-01-10,473.649994,2011-01-24,513.900024,40.25,8.5,14
APOLLOHOSP,2011-03-16,484.799988,2011-06-15,496.649994,11.85,2.44,91
APOLLOHOSP,2011-06-28,483.399994,2011-07-27,526.549988,43.15,8.93,29
APOLLOHOSP,2011-10-20,514.75,2011-11-08,576.549988,61.8,12.01,19
APOLLOHOSP,2011-12-23,567.849976,2012-01-11,608.599976,40.75,7.18,19
APOLLOHOSP,2012-02-29,579.650024,2012-03-14,652.5,72.85,12.57,14
APOLLOHOSP,2012-07-03,632.400024,2012-09-14,679.049988,46.65,7.38,73
APOLLOHOSP,2013-02-25,810.200012,2013-05-07,869.650024,59.45,7.34,71
APOLLOHOSP,2013-08-12,944.200012,2013-11-11,898.5,-45.7,-4.84,91
APOLLOHOSP,2013-12-26,884.849976,2013-12-30,949.700012,64.85,7.33,4
APOLLOHOSP,2014-03-21,898.0,2014-06-06,961.049988,63.05,7.02,77
APOLLOHOSP,2014-10-09,1069.599976,2014-11-05,1160.900024,91.3,8.54,27
APOLLOHOSP,2015-01-02,1127.849976,2015-01-20,1210.699951,82.85,7.35,18
APOLLOHOSP,2015-04-23,1297.599976,2015-07-23,1379.75,82.15,6.33,91
APOLLOHOSP,2015-08-27,1300.150024,2015-09-10,1410.650024,110.5,8.5,14
APOLLOHOSP,2015-11-04,1366.099976,2015-12-30,1462.150024,96.05,7.03,56
APOLLOHOSP,2016-01-14,1376.800049,2016-02-01,1498.400024,121.6,8.83,18
APOLLOHOSP,2016-03-10,1404.050049,2016-06-09,1388.550049,-15.5,-1.1,91
APOLLOHOSP,2016-07-08,1370.199951,2016-10-07,1319.599976,-50.6,-3.69,91
APOLLOHOSP,2016-10-18,1378.150024,2017-01-17,1167.099976,-211.05,-15.31,91
APOLLOHOSP,2017-02-03,1265.150024,2017-05-05,1265.449951,0.3,0.02,91
APOLLOHOSP,2017-06-01,1253.349976,2017-06-09,1352.5,99.15,7.91,8
APOLLOHOSP,2017-07-13,1250.0,2017-10-12,1073.75,-176.25,-14.1,91
APOLLOHOSP,2017-11-22,1149.5,2017-12-28,1232.25,82.75,7.2,36
APOLLOHOSP,2018-07-04,1081.900024,2018-08-17,1189.199951,107.3,9.92,44
APOLLOHOSP,2018-09-25,1046.099976,2018-10-10,1122.699951,76.6,7.32,15
APOLLOHOSP,2019-04-01,1269.5,2019-06-07,1398.199951,128.7,10.14,67
APOLLOHOSP,2019-11-14,1419.150024,2020-01-16,1591.550049,172.4,12.15,63
APOLLOHOSP,2020-07-07,1419.25,2020-07-23,1531.300049,112.05,7.9,16
APOLLOHOSP,2021-10-25,4164.0,2021-11-09,4532.899902,368.9,8.86,15
APOLLOHOSP,2021-12-21,4847.600098,2022-03-22,4677.600098,-170.0,-3.51,91
APOLLOHOSP,2022-04-21,4885.25,2022-07-21,4150.049805,-735.2,-15.05,91
APOLLOHOSP,2022-07-25,4189.899902,2022-08-10,4517.149902,327.25,7.81,16
APOLLOHOSP,2022-08-23,4070.949951,2022-09-06,4415.5,344.55,8.46,14
APOLLOHOSP,2023-01-03,4490.899902,2023-04-05,4200.950195,-289.95,-6.46,92
APOLLOHOSP,2023-04-28,4513.700195,2023-06-02,4967.299805,453.6,10.05,35
ASIANPAINT,2011-04-15,262.084991,2011-05-17,284.88501,22.8,8.7,32
ASIANPAINT,2011-09-20,307.790009,2011-12-20,264.950012,-42.84,-13.92,91
ASIANPAINT,2012-01-30,298.809998,2012-03-05,323.470001,24.66,8.25,35
ASIANPAINT,2012-07-30,357.654999,2012-09-12,384.539978,26.88,7.52,44
ASIANPAINT,2013-07-01,471.25,2013-07-18,521.309998,50.06,10.62,17
ASIANPAINT,2013-09-19,479.100006,2013-10-21,515.799988,36.7,7.66,32
ASIANPAINT,2014-03-18,501.600006,2014-03-27,539.049988,37.45,7.47,9
ASIANPAINT,2015-03-30,807.450012,2015-06-29,736.700012,-70.75,-8.76,91
ASIANPAINT,2015-07-07,824.599976,2015-07-31,882.799988,58.2,7.06,24
